,ID,Name,Age,Nationality,Rating,Club,Value,Wage,International_Reputation,Skill_Moves,Body_Type,Attack_Work Rate,Defence Work Rate,Region,Population,GDP,Pop_Density,Area,Weight,Height,Leg Work
21,185163,L. Rossettini,33,Italy,76,Chievo Verona,304,11,2,Bad,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,79,200,Right
22,223524,E. Goldaniga,24,Italy,74,Frosinone,551,6,1,Bad,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,90,197,Left
23,201299,N. Leali,25,Italy,70,Perugia,694,19,1,Worst,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,76,178,Right
24,201352,A. Iacobucci,27,Italy,67,Frosinone,256,17,1,Worst,Stocky,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,69,191,Right
25,208778,N. Manfredini,30,Italy,66,Spezia,229,12,1,Worst,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,65,197,Left
26,216068,F. Poli,29,Italy,68,Carpi,968,2,1,Bad,Lean,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,86,172,Right
27,205363,M. Bianchetti,25,Italy,71,Hellas Verona,645,8,1,Bad,Normal,Low,High,WESTERN EUROPE,58133509,26700,"193,0",301230,80,173,Left
28,192073,A. Bertolacci,27,Italy,77,Milan,842,3,2,Good,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,70,158,Right
29,210883,L. Miracoli,26,Italy,65,Brescia,279,15,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,73,162,Right
30,188017,A. Pomini,37,Italy,68,Palermo,227,4,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,88,170,Left
31,189439,L. Castiglia,29,Italy,68,US Salernitana 1919,361,23,1,Average,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,78,200,Right
32,189736,F. Casarini,28,Italy,66,Ascoli,923,18,1,Average,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,94,183,Right
33,216072,G. Letizia,28,Italy,72,Benevento,793,23,1,Average,Normal,High,High,WESTERN EUROPE,58133509,26700,"193,0",301230,76,199,Right
34,138956,G. Chiellini,33,Italy,89,Juventus,997,5,4,Bad,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,76,179,Left
35,240385,N. Zanellato,20,Italy,63,Crotone,148,25,1,Average,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,72,190,Right
36,245779,D. Quaranta,21,Italy,60,Ascoli,850,14,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,88,175,Left
37,178696,I. Pedrelli,32,Italy,61,Livorno,723,9,1,Average,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,85,172,Right
38,223010,L. Morosini,22,Italy,69,Brescia,444,13,1,Average,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,95,170,Right
39,244520,D. Mungo,25,Italy,65,Cosenza,907,4,1,Average,Lean,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,79,174,Left
40,206058,M. De Sciglio,25,Italy,78,Juventus,262,2,2,Average,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,77,192,Right
41,186961,A. Paloschi,28,Italy,76,SPAL,384,17,2,Average,Normal,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,92,201,Left
42,205529,L. Antei,26,Italy,71,Benevento,192,16,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,69,165,Right
43,229868,D. Mignanelli,25,Italy,66,Ascoli,931,5,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,75,191,Left
44,212153,R. Gagliardini,24,Italy,78,Inter,630,26,2,Average,Lean,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,65,180,Right
45,216409,M. Politano,24,Italy,81,Inter,940,10,2,Good,Normal,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,82,169,Left
46,232064,M. Tumminello,19,Italy,63,Atalanta,197,23,1,Bad,Normal,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,85,177,Left
47,224930,A. Sabbione,26,Italy,65,Carpi,715,3,1,Bad,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,72,186,Right
48,238841,F. Akammadu,19,Italy,57,Tranmere Rovers,806,22,1,Bad,Normal,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,77,183,Right
49,230574,G. Carpani,24,Italy,65,Ascoli,424,18,1,Average,Lean,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,66,164,Left
50,178418,F. Peluso,34,Italy,72,Sassuolo,517,16,2,Bad,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,79,160,Right
51,169495,R. De Vita,30,Italy,65,Livingston FC,421,10,1,Average,Lean,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,93,167,Right
52,223330,M. Moscati,25,Italy,67,Perugia,300,5,1,Average,Normal,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,69,172,Right
53,239613,M. Pessina,21,Italy,68,Atalanta,686,10,1,Average,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,75,173,Left
54,45605,M. Brighi,37,Italy,69,Empoli,664,9,2,Average,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,70,199,Left
55,192841,E. Giaccherini,33,Italy,77,Chievo Verona,692,7,2,Good,Normal,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,73,165,Left
56,159499,M. Zambelli,32,Italy,68,Foggia,289,23,1,Average,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,66,189,Left
57,184392,M. Darmian,28,Italy,76,Manchester United,654,13,2,Average,Lean,Low,High,WESTERN EUROPE,58133509,26700,"193,0",301230,78,182,Right
58,197786,G. Donati,28,Italy,73,1. FSV Mainz 05,661,12,2,Bad,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,95,192,Right
59,236522,E. Brignola,18,Italy,70,Sassuolo,214,0,1,Average,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,81,201,Right
60,236378,A. Plizzari,18,Italy,66,Milan,954,8,1,Worst,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,84,192,Right
61,244645,P. Pellegrino,20,Italy,55,Cosenza,691,12,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,92,166,Right
62,233809,A. Rossi,21,Italy,67,Lazio,515,9,1,Average,Normal,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,81,187,Left
63,244836,J. Segre,21,Italy,62,Venezia FC,376,11,1,Bad,Normal,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,72,175,Left
64,229438,M. Piccinocchi,23,Italy,61,FC Lugano,617,5,1,Bad,Lean,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,68,183,Right
65,220493,A. Barreca,23,Italy,75,AS Monaco,995,26,1,Average,Lean,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,90,173,Left
66,186614,S. Di Carmine,29,Italy,73,Hellas Verona,700,13,1,Average,Normal,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,84,186,Right
67,205724,I. Lanni,28,Italy,66,Ascoli,689,3,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,92,165,Left
68,237642,R. Petretta,21,Italy,69,FC Basel 1893,572,26,1,Average,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,90,172,Right
69,189783,M. Di Piazza,30,Italy,64,Cosenza,559,7,1,Bad,Lean,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,75,188,Right
70,165526,G. Paletta,32,Italy,77,Jiangsu Suning FC,308,2,3,Bad,Normal,Low,High,WESTERN EUROPE,58133509,26700,"193,0",301230,81,168,Right
71,219938,L. Rosseti,23,Italy,67,Ascoli,333,13,1,Average,Lean,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,73,200,Right
72,194894,F. Rossi,27,Italy,60,Atalanta,457,25,1,Worst,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,90,160,Left
73,244547,D. Merelli,22,Italy,65,Padova,876,25,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,91,182,Left
74,224315,L. Paganini,25,Italy,68,Frosinone,673,15,1,Average,Lean,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,75,181,Right
75,239433,N. Maksimoviƒá,23,Serbia,74,Getafe CF,810,4,1,Average,Normal,Medium,High,EASTERN EUROPE,9396411,2200,"106,3",88361,78,187,Right
76,195088,M. Ninkoviƒá,33,Serbia,75,Sydney FC,789,1,2,Good,Normal,Medium,Low,EASTERN EUROPE,9396411,2200,"106,3",88361,66,184,Right
77,221969,F. Mladenoviƒá,26,Serbia,68,Lechia Gda_Ñsk,910,18,1,Average,Lean,Medium,Medium,EASTERN EUROPE,9396411,2200,"106,3",88361,84,174,Left
78,244339,I. Lakiƒáeviƒá,24,Serbia,68,Genoa,152,10,1,Bad,Normal,High,Medium,EASTERN EUROPE,9396411,2200,"106,3",88361,77,174,Left
79,246354,S. Tanasijevic,21,Serbia,60,Chievo Verona,148,12,1,Bad,Normal,Medium,Medium,EASTERN EUROPE,9396411,2200,"106,3",88361,66,181,Right
80,208764,Z. Alomeroviƒá,27,Serbia,66,Lechia Gda_Ñsk,509,21,1,Worst,Stocky,Medium,Medium,EASTERN EUROPE,9396411,2200,"106,3",88361,68,174,Right
81,240223,M. Ristiƒá,22,Serbia,64,Sparta Praha,209,2,1,Bad,Normal,High,Medium,EASTERN EUROPE,9396411,2200,"106,3",88361,74,176,Left
82,223848,S. Milinkoviƒá-Saviƒá,23,Serbia,85,Lazio,696,12,2,Good,Normal,High,Medium,EASTERN EUROPE,9396411,2200,"106,3",88361,75,185,Left
83,212126,N. Ninkoviƒá,23,Serbia,70,Ascoli,116,13,1,Average,Lean,High,Low,EASTERN EUROPE,9396411,2200,"106,3",88361,76,200,Left
84,199121,H. Radetinac,32,Serbia,66,Djurg_•rdens IF,593,3,1,Average,Lean,Medium,Medium,EASTERN EUROPE,9396411,2200,"106,3",88361,90,169,Right
85,163301,J. Orozco,32,Mexico,76,Santos Laguna,410,10,2,Worst,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,79,172,Left
86,236434,H. Mu_±oz,23,Mexico,62,Club Tijuana,241,24,1,Bad,Stocky,Low,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,95,185,Left
87,244933,J. Alvarado,18,Mexico,55,Monterrey,436,4,1,Bad,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,86,200,Right
88,235844,E. _Ålvarez,20,Mexico,73,Club Am_©rica,704,0,1,Bad,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,66,190,Right
89,186305,O. Tejeda,29,Mexico,57,Lobos BUAP,711,5,1,Bad,Stocky,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,81,190,Left
90,190485,H. Olvera,28,Mexico,69,Club Atlas,777,6,1,Average,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,75,179,Left
91,237045,R. Pasquel,22,Mexico,50,Deportivo Toluca,935,15,1,Worst,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,72,174,Right
92,207509,A. Dom__nguez,27,Mexico,61,Deportivo Toluca,564,6,1,Bad,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,79,195,Right
93,244612,L. Mart__nez,19,Mexico,57,Club Tijuana,501,3,1,Bad,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,74,178,Left
94,224230,A. D__az,22,Mexico,65,Club Atlas,613,7,1,Average,Lean,High,Low,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,65,176,Right
95,235590,P. Sisniega,22,Mexico,66,Real Sociedad,652,23,1,Worst,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,75,176,Left
96,171378,P. Aguilar,32,Mexico,74,Club Am_©rica,100,15,2,Average,Lean,High,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,69,200,Right
97,192009,J. Rodr__guez,25,Mexico,74,Lobos BUAP,229,2,1,Worst,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,70,183,Right
98,199569,E. Torres,25,Mexico,70,Club Tijuana,265,3,1,Average,Normal,High,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,83,191,Right
99,161667,L. Robles,31,Mexico,67,Puebla FC,539,13,1,Bad,Normal,Medium,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,65,179,Left
100,213445,E. L__pez,23,Mexico,72,Guadalajara,923,0,1,Average,Normal,High,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,71,159,Left
101,187110,M. Ponce,29,Mexico,69,Guadalajara,583,23,1,Average,Stocky,High,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,88,178,Left
102,226721,G. Alcal_°,25,Mexico,62,Quer_©taro,814,8,1,Worst,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,89,160,Right
103,232654,L. Malag__n,21,Mexico,60,Monarcas Morelia,423,17,1,Worst,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,89,187,Left
104,204771,R. Baca,28,Mexico,71,Cruz Azul,196,23,1,Average,Lean,High,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,91,158,Left
105,243015,L. Romo,23,Mexico,65,Quer_©taro,566,8,1,Bad,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,67,200,Left
106,186993,J. Cort_©s,28,Mexico,70,Santos Laguna,860,8,1,Average,Stocky,High,Low,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,73,170,Right
107,169321,M. Fraga,30,Mexico,71,U.N.A.M.,539,24,1,Worst,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,94,159,Right
108,244568,C. Estrada,21,Mexico,59,Club Am_©rica,562,26,1,Worst,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,86,190,Right
109,244900,J. Medina,27,Mexico,59,Club Necaxa,635,10,1,Bad,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,83,194,Left
110,240940,R. de la Rosa,18,Mexico,61,Pachuca,742,10,1,Bad,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,65,176,Left
111,244611,J. Vega,20,Mexico,61,Tigres U.A.N.L.,960,8,1,Bad,Normal,Medium,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,82,169,Left
112,178322,M. Lay__n,30,Mexico,77,Villarreal CF,513,20,3,Average,Normal,High,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,72,170,Left
113,183686,M. de Luna,30,Mexico,68,Guadalajara,379,13,1,Bad,Normal,Low,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,81,164,Left
114,198632,J. Z_°rate,26,Mexico,70,Lobos BUAP,726,20,1,Average,Lean,High,Low,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,66,192,Left
115,186302,E. Hern_°ndez,30,Mexico,78,Cruz Azul,811,20,1,Good,Lean,Medium,Low,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,79,162,Left
116,239942,A. _Åvila,20,Mexico,56,Club Atlas,992,22,1,Bad,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,77,184,Left
117,161804,O. Rojas,36,Mexico,65,Lobos BUAP,361,15,1,Bad,Normal,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,91,192,Left
118,192012,D. Reyes,25,Mexico,76,Fenerbah_ße SK,862,17,3,Bad,Lean,Medium,Medium,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,81,184,Left
119,177969,I. Gonz_°lez,33,Mexico,69,Club Le__n,449,10,1,Bad,Normal,Medium,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,70,165,Right
120,242427,A. Mora,20,Mexico,63,Deportivo Toluca,215,16,1,Bad,Normal,Low,High,LATIN AMER. & CARIB,107449525,9000,"54,5",1972550,94,200,Left
121,193272,S. _ûahin-Radlinger,25,Austria,68,SK Brann,878,22,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,91,186,Right
122,244928,A. Hod_æiƒá,18,Austria,55,Wolfsberger AC,691,5,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,68,161,Left
123,199813,G. Trauner,26,Austria,67,LASK Linz,413,20,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,77,185,Right
124,221931,P. __ulj,25,Austria,74,SK Sturm Graz,593,18,1,Good,Normal,High,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,74,181,Left
125,169324,A. Ulmer,32,Austria,73,FC Red Bull Salzburg,325,21,1,Average,Normal,High,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,69,173,Right
126,244553,M. K__stenbauer,16,Austria,52,FC Admira Wacker M__dling,934,5,1,Worst,Lean,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,76,200,Left
127,183795,G. Margreitter,29,Austria,74,1. FC N_ºrnberg,461,5,1,Bad,Normal,Medium,High,WESTERN EUROPE,8192880,30000,"97,7",83870,93,159,Left
128,216181,P. Tschernegg,25,Austria,65,FC St. Gallen,744,6,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,86,165,Right
129,204043,E. Dilaver,27,Austria,75,Dinamo Zagreb,390,23,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,91,197,Right
130,236935,H. Wolf,19,Austria,71,FC Red Bull Salzburg,383,3,1,Good,Lean,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,68,196,Left
131,210476,M. Kuster,24,Austria,68,SV Mattersburg,925,4,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,96,165,Left
132,244496,S. Periƒá,21,Austria,60,FC Wacker Innsbruck,517,18,1,Bad,Normal,Low,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,89,171,Left
133,223866,S. Lovric,20,Austria,65,SK Sturm Graz,405,8,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,94,158,Left
134,212991,D. Gremsl,25,Austria,59,FSV Zwickau,743,6,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,66,177,Left
135,245230,M. Salaba,18,Austria,58,SV Mattersburg,971,11,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,79,196,Right
136,193860,T. Schick,28,Austria,68,BSC Young Boys,922,15,1,Average,Normal,High,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,80,159,Right
137,189237,E. Schreiner,29,Austria,65,SCR Altach,492,3,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,67,188,Right
138,210475,M. Prietl,26,Austria,69,DSC Arminia Bielefeld,591,22,1,Bad,Lean,Medium,High,WESTERN EUROPE,8192880,30000,"97,7",83870,84,195,Left
139,209990,R. Strebinger,25,Austria,72,SK Rapid Wien,236,10,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,95,165,Right
140,211618,D. Starkl,24,Austria,66,FC Admira Wacker M__dling,230,6,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,95,178,Right
141,229071,K. Onisiwo,26,Austria,72,1. FSV Mainz 05,540,24,1,Bad,Normal,Medium,High,WESTERN EUROPE,8192880,30000,"97,7",83870,73,189,Left
142,223673,M. Wostry,25,Austria,66,LASK Linz,138,1,1,Bad,Lean,Medium,High,WESTERN EUROPE,8192880,30000,"97,7",83870,65,163,Right
143,244811,D. Bumberger,19,Austria,53,LASK Linz,294,24,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,82,190,Right
144,244926,J. Steiger,17,Austria,51,Wolfsberger AC,190,2,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,90,186,Right
145,177578,S. Pr__dl,31,Austria,74,Watford,247,11,2,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,72,171,Right
146,169345,M. Suttner,31,Austria,73,Brighton & Hove Albion,870,18,1,Average,Normal,High,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,82,183,Right
147,193260,M. Pink,27,Austria,65,SK Sturm Graz,530,22,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,91,174,Right
148,205465,M. Pu_°iƒá,30,Austria,67,SV Mattersburg,287,23,1,Bad,Normal,High,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,83,171,Right
149,215517,F. Sittsam,23,Austria,61,TSV Hartberg,672,5,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,80,180,Right
150,217730,S. Zwierschitz,27,Austria,65,FC Admira Wacker M__dling,371,19,1,Bad,Lean,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,88,159,Right
151,211147,V. Lazaro,22,Austria,73,Hertha BSC,142,3,1,Good,Normal,High,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,67,174,Right
152,234653,M. Ambichl,27,Austria,64,SKN St. P__lten,204,14,1,Average,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,83,196,Right
153,199197,P. Salomon,30,Austria,64,SV Mattersburg,248,17,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,67,175,Right
154,200433,L. Hinterseer,27,Austria,73,VfL Bochum 1848,915,5,2,Average,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,72,191,Right
155,223677,F. Jamnig,27,Austria,65,LASK Linz,358,5,1,Bad,Normal,High,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,66,194,Right
156,203851,D. Drescher,28,Austria,66,SKN St. P__lten,383,0,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,92,197,Right
157,234651,D. Stec,24,Austria,64,Pogo_Ñ Szczecin,841,24,1,Average,Lean,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,73,181,Right
158,210494,M. Schmerb__ck,24,Austria,67,Wolfsberger AC,572,2,1,Average,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,95,173,Right
159,245005,D. Kerschbaumer,29,Austria,60,SV Mattersburg,896,8,1,Average,Normal,Medium,Medium,WESTERN EUROPE,8192880,30000,"97,7",83870,72,159,Right
160,237574,S. Tetteh,21,Ghana,65,LASK Linz,963,20,1,Bad,Normal,Medium,Medium,SUB-SAHARAN AFRICA,22409572,2200,"93,6",239460,86,168,Right
161,223993,M. Osei Kwadwo,23,Ghana,65,1. FC Magdeburg,898,13,1,Bad,Normal,Medium,Medium,SUB-SAHARAN AFRICA,22409572,2200,"93,6",239460,91,174,Right
162,242634,I. Twum,20,Ghana,63,IK Start,666,3,1,Bad,Lean,Medium,Medium,SUB-SAHARAN AFRICA,22409572,2200,"93,6",239460,70,200,Right
163,168320,A. Gyan,32,Ghana,74,Kayserispor,463,4,3,Average,Normal,High,Low,SUB-SAHARAN AFRICA,22409572,2200,"93,6",239460,75,192,Right
